"AÑO";"MES";"ID";"TIPOEDIFICIO";"EDIFICIO";"BARRIO";"CLASE";"GRUPO";"UNIDADES";"CONSUMO"
"2020";"3";"1692";"Centros deportivos";"CDM Barajas";"ALAMEDA DE OSUNA";"Energia activa";"Activa Interruptor Gral";"kWh";"45869"
"2020";"3";"1692";"Centros deportivos";"CDM Barajas";"ALAMEDA DE OSUNA";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"2764"
"2020";"3";"1692";"Centros deportivos";"CDM Barajas";"ALAMEDA DE OSUNA";"Gas";"Ninguno";"m3";"10900,2"
"2020";"3";"1918";"Centros deportivos";"CDM Cerro AlmodÃ³var";"SANTA EUGENIA";"Energia activa";"Ninguno";"kWh";"35192"
"2020";"3";"1918";"Centros deportivos";"CDM Cerro AlmodÃ³var";"SANTA EUGENIA";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"4859"
"2020";"3";"1825";"Centros deportivos";"CDM ConcepciÃ³n";"CONCEPCIÃ“N";"Energia activa";"Activa Interruptor Gral";"kWh";"20775"
"2020";"3";"1825";"Centros deportivos";"CDM ConcepciÃ³n";"CONCEPCIÃ“N";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"5530"
"2020";"3";"1825";"Centros deportivos";"CDM ConcepciÃ³n";"CONCEPCIÃ“N";"Gas";"Ninguno";"m3";"8611"
"2020";"3";"1892";"Centros deportivos";"CDM Faustina Valladolid - Valdebernardo";"CASCO HISTÃ“RICO DE VICÃ�LVARO";"Energia activa";"Ninguno";"kWh";"52582"
"2020";"3";"1892";"Centros deportivos";"CDM Faustina Valladolid - Valdebernardo";"CASCO HISTÃ“RICO DE VICÃ�LVARO";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"890"
"2020";"3";"1892";"Centros deportivos";"CDM Faustina Valladolid - Valdebernardo";"CASCO HISTÃ“RICO DE VICÃ�LVARO";"Gas";"Ninguno";"m3";"15209,3"
"2020";"3";"1140";"Centros deportivos";"CDM Gallur";"CÃ�RMENES";"Energia activa";"Activa Interruptor Gral";"kWh";"24989"
"2020";"3";"1140";"Centros deportivos";"CDM Gallur";"CÃ�RMENES";"Gas";"Gas";"m3";"0"
"2020";"3";"1140";"Centros deportivos";"CDM Gallur";"CÃ�RMENES";"Gas";"Gas";"m3";"0"
"2020";"3";"1929";"Centros deportivos";"CDM Hortaleza";"APÃ“STOL SANTIAGO";"Energia activa";"Activa Interruptor Gral";"kWh";"12927"
"2020";"3";"1929";"Centros deportivos";"CDM Hortaleza";"APÃ“STOL SANTIAGO";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"891"
"2020";"3";"1929";"Centros deportivos";"CDM Hortaleza";"APÃ“STOL SANTIAGO";"Gas";"Ninguno";"m3";"6350"
"2020";"3";"1933";"Centros deportivos";"CDM La Elipa";"MEDIA LEGUA";"Gas";"Gas";"m3";"928,5"
"2020";"3";"1771";"Centros deportivos";"CDM La MasÃ³";"MIRASIERRA";"Energia activa";"Activa Interruptor Gral";"kWh";"77416"
"2020";"3";"1771";"Centros deportivos";"CDM La MasÃ³";"MIRASIERRA";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"8738"
"2020";"3";"1771";"Centros deportivos";"CDM La MasÃ³";"MIRASIERRA";"Gas";"Gas";"m3";"0"
"2020";"3";"1937";"Centros deportivos";"CDM Luis AragonÃ©s";"CANILLAS";"Energia activa";"Activa Interruptor Gral";"kWh";"30565"
"2020";"3";"1937";"Centros deportivos";"CDM Luis AragonÃ©s";"CANILLAS";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"2574"
"2020";"3";"1937";"Centros deportivos";"CDM Luis AragonÃ©s";"CANILLAS";"Gas";"Ninguno";"m3";"13226,4"
"2020";"3";"844";"Centros deportivos";"CDM Orcasitas";"ZOFÃ�O";"Energia activa";"Activa Interruptor Gral";"kWh";"635"
"2020";"3";"844";"Centros deportivos";"CDM Orcasitas";"ZOFÃ�O";"Energia activa";"Activa Interruptor Gral";"kWh";"3933"
"2020";"3";"844";"Centros deportivos";"CDM Orcasitas";"ZOFÃ�O";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"0"
"2020";"3";"844";"Centros deportivos";"CDM Orcasitas";"ZOFÃ�O";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"1542"
"2020";"3";"1114";"Centros deportivos";"CDM Plata y CastaÃ±ar";"VILLAVERDE ALTO";"Energia activa";"Activa Interruptor Gral";"kWh";"51373"
"2020";"3";"1114";"Centros deportivos";"CDM Plata y CastaÃ±ar";"VILLAVERDE ALTO";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"1321"
"2020";"3";"1114";"Centros deportivos";"CDM Plata y CastaÃ±ar";"VILLAVERDE ALTO";"Gas";"Gas";"m3";"12142"
"2020";"3";"1941";"Centros deportivos";"CDM Playa Victoria";"BERRUGUETE";"Energia activa";"Activa Interruptor Gral";"kWh";"16068"
"2020";"3";"1941";"Centros deportivos";"CDM Playa Victoria";"BERRUGUETE";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"1552"
"2020";"3";"1941";"Centros deportivos";"CDM Playa Victoria";"BERRUGUETE";"Gas";"Ninguno";"m3";"4916"
"2020";"3";"1889";"Centros deportivos";"CDM Pueblo Nuevo";"PUEBLO NUEVO";"Energia activa";"Activa Interruptor Gral";"kWh";"15188"
"2020";"3";"1889";"Centros deportivos";"CDM Pueblo Nuevo";"PUEBLO NUEVO";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"6604"
"2020";"3";"1889";"Centros deportivos";"CDM Pueblo Nuevo";"PUEBLO NUEVO";"Gas";"Ninguno";"m3";"3660"
"2020";"3";"1541";"Centros deportivos";"CDM Samaranch";"IMPERIAL";"Energia activa";" ";"kWh";"53511"
"2020";"3";"1541";"Centros deportivos";"CDM Samaranch";"IMPERIAL";"Gas";"Gas";"m3";"14511"
"2020";"3";"1942";"Centros deportivos";"CDM San Blas";"HELLÃ�N";"Energia activa";" ";"kWh";"0"
"2020";"3";"1945";"Centros deportivos";"CDM San Juan Bautista";"SAN JUAN BAUTISTA";"Energia activa";"Activa Interruptor Gral";"kWh";"18737"
"2020";"3";"1945";"Centros deportivos";"CDM San Juan Bautista";"SAN JUAN BAUTISTA";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"11411"
"2020";"3";"1945";"Centros deportivos";"CDM San Juan Bautista";"SAN JUAN BAUTISTA";"Gas";"Ninguno";"m3";"3361,3"
"2020";"3";"1950";"Centros deportivos";"CDM Vicente del Bosque";"LA PAZ";"Energia activa";"Activa Contador Gral - Bus";"kWh";"0"
"2020";"3";"1950";"Centros deportivos";"CDM Vicente del Bosque";"LA PAZ";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"0"
"2020";"3";"1656";"Centros deportivos";"CDM Wilfred Agbonavbare - Alberto GarcÃ­a";"ENTREVÃ�AS";"Energia activa";"Activa Interruptor Gral";"kWh";"28350"
"2020";"3";"1656";"Centros deportivos";"CDM Wilfred Agbonavbare - Alberto GarcÃ­a";"ENTREVÃ�AS";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"724"
"2020";"3";"1656";"Centros deportivos";"CDM Wilfred Agbonavbare - Alberto GarcÃ­a";"ENTREVÃ�AS";"Gas";"Ninguno";"m3";"9686,1"
"2020";"3";"658";"Centros escolares";"CEIP Bolivia";"LUCERO";"Energia activa";"Activa Interruptor Gral";"kWh";"2188"
"2020";"3";"658";"Centros escolares";"CEIP Bolivia";"LUCERO";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"13,8"
"2020";"3";"658";"Centros escolares";"CEIP Bolivia";"LUCERO";"Gas";"Gas";"m3";"84,2"
